,Pos,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,outrate,MRA,BRPI
1,2,Kedar Devdhar,BCA,349,8,8,3,99*,69.8,307,113.68,0,2,35,11,0.016286644951140065,0.25,25.75
3,4,A A Barot,SCA,283,5,5,0,122,56.6,153,184.96,1,1,32,12,0.032679738562091505,0.4,40.0
8,9,C Hari Nishaanth,TNCA,246,8,8,2,92*,41.0,206,119.41,0,1,27,6,0.02912621359223301,0.125,18.0
11,12,Venkatesh Iyer,MPCA,227,5,5,2,88*,75.67,152,149.34,0,2,29,5,0.019736842105263157,0.4,29.2
13,14,Devdutt Padikkal,KSCA,218,6,6,1,99*,43.6,162,134.56,0,1,23,9,0.030864197530864196,0.16666666666666666,24.333333333333332
14,15,Jay Bista,CAU,217,5,5,1,92,54.25,162,133.95,0,2,24,6,0.024691358024691357,0.4,26.4
15,16,Mohammed Azharuddeen,KCA,214,5,5,1,137*,53.5,110,194.54,1,0,17,15,0.03636363636363636,0.2,31.6
16,17,Vivek Singh,CAB,208,5,5,2,100*,69.33,132,157.57,1,1,29,6,0.022727272727272728,0.4,30.4
17,18,Abhishek Sharma,PCA,206,7,7,1,107,34.33,161,127.95,1,1,13,14,0.037267080745341616,0.2857142857142857,19.428571428571427
22,23,Ankit Lamba,RCA,198,6,6,0,51,33.0,189,104.76,0,1,17,4,0.031746031746031744,0.16666666666666666,15.333333333333334
4,5,Vishnu Solanki,BCA,267,8,8,3,71*,53.4,208,128.36,0,2,21,12,0.02403846153846154,0.25,19.5
6,7,Virat Singh,JSCA,250,5,5,1,103*,62.5,166,150.6,1,1,29,6,0.024096385542168676,0.4,30.4
7,8,S R Chauhan,HCA,249,6,6,1,59,49.8,199,125.12,0,1,30,3,0.02512562814070352,0.16666666666666666,23.0
9,10,Rahul Singh Gahlaut,SSCB,244,5,5,2,76*,81.33,138,176.81,0,3,22,12,0.021739130434782608,0.6,32.0
12,13,Rajat Patidar,MPCA,221,5,5,0,96,44.2,144,153.47,0,3,21,8,0.034722222222222224,0.6,26.4
18,19,Prerak Mankad,SCA,205,5,5,1,61*,51.25,113,181.41,0,3,21,10,0.035398230088495575,0.6,28.8
20,21,H J Rana,HCA,203,6,6,1,75*,40.6,153,132.67,0,2,25,5,0.032679738562091505,0.3333333333333333,21.666666666666668
21,22,Shivam Bhambri,UTCA,198,4,4,0,75,49.5,143,138.46,0,3,18,7,0.027972027972027972,0.75,28.5
23,24,Milind,TCA,195,5,5,2,64*,65.0,155,125.8,0,2,11,8,0.01935483870967742,0.4,18.4
25,26,S S Mundhe,NCA,191,4,4,2,69*,95.5,135,141.48,0,2,19,6,0.014814814814814815,0.5,28.0
28,29,Nitish Rana,DDCA,183,5,5,0,74,36.6,111,164.86,0,2,23,8,0.04504504504504504,0.4,28.0
5,6,Riyan Parag,ASCA,261,5,5,2,77*,87.0,184,141.84,0,3,13,17,0.016304347826086956,0.6,30.8
32,33,Karan Sharma,UPCA,168,5,5,1,68*,42.0,103,163.1,0,2,14,10,0.038834951456310676,0.4,23.2
35,36,Ashok Menaria,RCA,166,7,7,1,67,27.67,134,123.88,0,2,16,5,0.04477611940298507,0.2857142857142857,13.428571428571429
36,37,K B Arun Karthick,TNCA,163,8,6,2,89*,40.75,115,141.73,0,1,17,5,0.05217391304347826,0.16666666666666666,16.333333333333332
40,41,Shivam Dube,MCA,161,5,5,1,63,40.25,116,138.79,0,1,10,10,0.034482758620689655,0.2,20.0
42,43,Aniruddha,KSCA,160,6,6,1,64*,32.0,152,105.26,0,1,8,5,0.03289473684210526,0.16666666666666666,10.333333333333334
49,50,Lalit Yadav,DDCA,152,5,5,4,52*,152.0,77,197.4,0,1,17,7,0.012987012987012988,0.2,22.0
58,59,Abdul Samad,JKCA,140,5,4,1,54*,46.67,94,148.93,0,1,8,10,0.0425531914893617,0.25,23.0
0,1,N Jagadeesan,TNCA,364,8,8,3,78*,72.8,258,141.08,0,4,31,17,0.01937984496124031,0.5,28.25
2,3,Prabhsimran Singh,PCA,341,7,7,3,89*,85.25,240,142.08,0,3,24,22,0.016666666666666666,0.42857142857142855,32.57142857142857
10,11,Sheldon Jackson,CAP,242,5,5,2,106*,80.67,156,155.12,1,1,20,13,0.019230769230769232,0.4,31.6
19,20,Punit Bisht,MECA,204,5,4,2,146*,102.0,94,217.02,1,0,15,18,0.031914893617021274,0.25,42.0
27,28,Dinesh Karthik,TNCA,183,8,6,3,47*,61.0,116,157.75,0,0,18,6,0.04310344827586207,0.0,18.0
37,38,P S Chopra,HPCA,162,5,5,1,54*,40.5,144,112.5,0,1,17,5,0.027777777777777776,0.2,19.6
44,45,Shreevats Goswami,CAB,158,5,5,1,69*,39.5,119,132.77,0,1,24,1,0.03361344537815126,0.2,20.4
66,67,Sanju Samson,KCA,128,5,5,0,51,25.6,93,137.63,0,1,15,6,0.053763440860215055,0.2,19.2
