,Pos,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,outrate,MRA,BRPI
0,1,Prithvi Shaw,MCA,827,8,8,3,227*,165.4,598,138.29,4,1,105,25,0.008361204013377926,0.625,71.25
1,2,Devdutt Padikkal,KSCA,737,7,7,2,152,147.4,768,95.96,4,3,70,21,0.006510416666666667,1.0,58.0
2,3,Samarth R,KSCA,613,7,7,2,192,122.6,582,105.32,3,2,69,4,0.00859106529209622,0.7142857142857143,42.857142857142854
3,4,Tanmay Agarwal,HYCA,446,5,5,0,150,89.2,462,96.53,2,2,54,2,0.010822510822510822,0.8,45.6
6,7,Tilak Varma,HYCA,391,5,5,1,156*,97.75,402,97.26,2,1,31,11,0.009950248756218905,0.6,38.0
7,8,Y J Nahar,MHCA,390,5,5,0,119,78.0,456,85.52,2,2,34,14,0.010964912280701754,0.8,44.0
10,11,Robin,KCA,377,6,6,1,107,75.4,286,131.81,2,2,30,23,0.017482517482517484,0.6666666666666666,43.0
33,34,Dhruv Shorey,DDCA,281,6,6,0,132,46.83,348,80.74,1,2,31,4,0.017241379310344827,0.5,24.666666666666668
34,35,Manan Vohra,UTCA,276,5,5,0,117,55.2,301,91.69,1,2,26,3,0.016611295681063124,0.6,24.4
35,36,Mrunal Devdhar,RSPB,274,5,5,1,105*,68.5,273,100.36,1,1,29,5,0.014652014652014652,0.4,29.2
4,5,Nitish Rana,DDCA,398,7,7,1,137,66.33,407,97.78,1,2,51,4,0.014742014742014743,0.42857142857142855,32.57142857142857
5,6,Het,GCA,395,7,7,1,114,65.83,454,87.0,1,3,35,6,0.013215859030837005,0.5714285714285714,25.142857142857142
8,9,K H Pandya,BCA,388,5,5,2,133*,129.33,329,117.93,2,2,54,6,0.00911854103343465,0.8,50.4
9,10,Aksh Deep Nath,UPCA,387,8,8,1,93,55.29,422,91.7,0,5,42,8,0.016587677725118485,0.625,27.0
15,16,Vishnu Solanki,BCA,335,5,5,0,108,67.0,421,79.57,1,2,36,2,0.011876484560570071,0.6,31.2
16,17,Surya,MCA,332,5,5,0,133,66.4,219,151.59,1,2,46,9,0.0228310502283105,0.6,47.6
18,19,Ricky Bhui,ACA,325,6,6,3,101*,108.33,295,110.16,1,3,25,16,0.010169491525423728,0.6666666666666666,32.666666666666664
19,20,Shubham Khajuria,JKCA,325,5,5,0,120,65.0,319,101.88,1,2,39,8,0.01567398119122257,0.6,40.8
20,21,A V Vasavada,SCA,319,6,6,0,91,53.17,334,95.5,0,3,26,5,0.017964071856287425,0.5,22.333333333333332
28,29,Himmat Singh,DDCA,293,7,7,2,117*,58.6,348,84.19,2,0,31,3,0.014367816091954023,0.2857142857142857,20.285714285714285
30,31,Priyam Garg,UPCA,286,8,8,0,115,35.75,274,104.37,1,2,38,4,0.029197080291970802,0.375,22.0
26,27,Chirag Jani,SCA,297,6,6,3,93*,99.0,248,119.75,0,3,29,6,0.012096774193548387,0.5,25.333333333333332
37,38,A N Kazi,MHCA,273,5,5,0,104,54.6,261,104.59,1,1,27,7,0.019157088122605363,0.4,30.0
49,50,Sagar V Trivedi,CAP,228,5,5,2,79*,76.0,227,100.44,0,2,19,12,0.013215859030837005,0.4,29.6
81,82,Shahrukh Khan,TNCA,198,5,5,2,67*,66.0,187,105.88,0,3,15,9,0.016042780748663103,0.6,22.8
13,14,Kd Eknath,GOACA,340,5,5,1,169*,85.0,395,86.07,1,1,31,5,0.010126582278481013,0.4,30.8
21,22,Dhruv Raval,GCA,304,7,7,0,102,43.43,357,85.15,1,1,41,1,0.0196078431372549,0.2857142857142857,24.285714285714285
22,23,Prabhsimran Singh,PCA,303,5,5,0,167,60.6,298,101.67,1,1,23,15,0.016778523489932886,0.4,36.4
24,25,Aditya Tare,MCA,299,8,6,2,118*,74.75,340,87.94,1,2,34,1,0.01764705882352941,0.5,23.666666666666668
31,32,Upendra Yadav,UPCA,285,8,8,4,112,71.25,251,113.54,1,1,31,5,0.01593625498007968,0.25,19.25
46,47,M N Singh,RCA,236,5,5,0,115,47.2,324,72.83,1,1,21,3,0.015432098765432098,0.4,20.4
50,51,Sheldon Jackson,CAP,227,5,5,0,104,45.4,325,69.84,1,1,20,3,0.015384615384615385,0.4,19.6
61,62,N Jagadeesan,TNCA,217,5,5,0,101,43.4,238,91.17,1,0,27,7,0.02100840336134454,0.2,30.0
64,65,Ishan,JSCA,215,5,5,0,173,43.0,170,126.47,1,0,23,11,0.029411764705882353,0.2,31.6
